"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71"
"8051","6","6","6","6","6","7","7","7","7","7","14","14","14","14","14","14","14","14","14","15","19","19","19","18","19","20","20","21","19","21","26","28","27","25","26","26","26","25","25","27","31","32","31","31","31","31","30","30","32","31","5","4","5","4","5","5","9","9","4","9","8","8","9","8","9","8","14","17","9","15"
"8052","6","6","6","6","6","7","7","7","6","8","14","14","14","14","14","14","14","14","14","15","18","18","19","18","19","19","20","21","20","22","25","26","26","25","26","26","26","25","25","27","31","31","31","31","31","31","31","31","32","31","5","4","4","4","5","5","9","9","4","9","8","8","9","8","9","9","14","17","9","15"
"8051","6","6","6","6","6","7","7","7","7","7","14","14","14","14","14","14","14","14","14","15","19","19","19","18","19","20","20","21","19","21","26","28","27","25","26","26","26","25","25","27","31","32","31","31","31","31","30","30","32","31","5","4","5","4","5","5","9","9","4","9","8","8","9","8","9","8","14","17","9","15"
"8050","6","7","6","6","7","7","7","7","7","8","14","15","15","14","14","14","14","15","14","14","19","19","19","18","19","19","21","21","19","21","26","28","27","25","26","26","26","25","25","26","31","32","31","31","31","31","31","31","32","30","5","4","5","4","5","5","9","8","4","9","8","8","9","8","9","8","14","17","9","15"
"8049","6","7","6","6","7","7","7","7","7","7","14","16","15","14","14","14","14","15","14","14","19","20","20","19","20","19","21","21","19","21","26","28","26","26","26","26","26","25","25","26","31","32","31","31","31","31","30","31","32","30","5","4","5","5","5","8","9","9","4","9","8","9","9","8","9","12","14","18","9","14"
"8048","6","7","6","6","7","7","7","7","8","7","14","15","15","14","14","14","14","15","14","14","19","20","19","19","20","20","21","21","19","21","26","28","26","26","27","26","26","26","26","26","31","32","31","31","31","31","31","31","32","31","5","4","5","5","5","8","9","9","4","9","8","9","8","8","9","12","15","18","9","15"
"8047","6","7","6","6","7","7","8","7","8","8","14","15","15","14","14","14","15","15","14","15","19","20","19","19","20","19","22","21","20","22","26","29","26","26","26","25","27","25","26","27","31","33","31","31","31","30","31","31","32","31","5","5","4","5","5","8","9","9","4","9","8","8","8","8","9","12","15","19","9","15"
"8046","6","7","6","6","6","7","7","7","7","7","14","14","14","14","14","14","15","14","13","15","19","20","19","19","20","19","21","21","19","21","26","29","26","26","26","25","27","26","25","27","31","32","31","31","31","30","31","32","30","31","5","4","4","5","5","8","9","5","4","9","8","8","8","8","9","12","15","9","9","15"
"8045","6","6","6","6","6","7","8","7","8","8","13","14","14","13","14","14","14","14","13","14","18","19","18","18","19","20","21","20","19","21","26","28","26","26","26","25","26","25","25","26","31","32","31","31","31","30","30","32","30","30","5","4","5","5","5","9","9","5","4","9","8","8","8","8","9","13","15","9","9","15"
"8044","6","6","6","6","6","7","7","6","7","7","13","13","13","13","13","14","15","14","12","15","18","19","18","18","19","20","21","20","19","21","26","28","26","26","26","25","26","25","25","26","31","32","31","31","31","30","31","32","29","31","5","4","4","5","5","9","9","4","4","9","8","8","8","8","8","13","15","9","9","15"
"8043","6","6","6","6","6","7","8","6","8","8","13","13","13","13","13","14","15","13","13","15","19","19","18","19","19","20","22","20","21","22","26","27","25","26","26","25","26","24","27","26","31","32","31","31","31","30","31","31","31","31","5","4","4","5","5","9","9","4","4","9","9","9","8","9","8","13","15","9","9","15"
"8042","6","6","6","6","6","7","7","6","8","7","13","14","13","13","13","14","15","14","12","15","19","20","19","19","19","20","21","20","20","21","26","27","25","26","26","25","26","25","26","26","31","31","31","31","31","30","31","32","31","31","5","4","4","5","5","9","9","4","4","9","9","9","8","9","9","13","16","9","9","16"
"8041","6","7","6","6","6","6","7","8","7","8","13","13","14","13","14","13","14","15","15","15","19","19","19","19","19","19","20","22","21","22","26","28","25","25","26","26","25","27","25","27","31","32","31","31","31","31","30","31","31","31","5","4","4","5","5","5","9","9","9","9","9","9","8","8","9","9","13","15","18","15"
"8040","6","7","6","6","7","6","7","7","7","7","13","14","14","14","14","13","14","15","15","15","19","19","19","19","19","19","20","21","21","21","26","28","25","25","26","26","25","27","25","27","31","32","30","31","31","31","30","31","31","31","5","4","4","5","5","5","9","9","9","9","9","9","8","8","9","9","13","15","18","15"
"8039","6","6","6","6","7","6","7","8","7","8","14","14","14","14","14","13","14","14","15","14","19","20","19","19","20","19","20","21","21","21","26","28","25","25","26","26","25","26","26","26","31","32","30","31","31","31","30","30","31","30","5","4","4","5","5","5","9","9","9","9","9","9","8","8","9","9","13","15","18","15"
"8038","6","5","6","6","7","7","7","7","7","7","14","15","14","14","14","14","14","15","15","15","19","20","18","19","20","19","20","21","21","21","26","27","25","25","26","25","25","26","25","26","31","31","30","31","31","31","30","31","31","31","5","5","4","5","5","5","8","9","9","9","9","9","8","8","9","9","13","15","19","15"
"8037","6","5","5","6","6","7","7","8","7","8","14","14","13","14","14","14","14","15","14","15","19","19","18","19","20","19","20","22","21","22","26","26","25","25","26","26","26","26","26","26","31","30","30","31","31","31","30","31","32","31","5","5","4","5","5","5","9","9","5","9","9","9","8","8","9","8","13","15","9","15"
