"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71"
"20049","6","7","3","6","10","2","2","10","5","10","17","12","11","17","14","7","15","18","12","11","18","20","18","18","20","18","16","21","14","14","21","22","24","21","21","22","25","24","25","24","32","29","29","32","27","30","35","31","29","35","3","3","7","3","5","3","4","4","2","5","6","11","8","6","9","6","10","12","9","13"
"20050","6","7","13","6","7","5","8","5","8","7","12","14","14","12","16","13","14","9","15","9","12","17","18","12","16","15","24","19","19","15","25","22","19","25","25","28","25","21","21","27","32","34","31","32","33","31","33","33","32","32","2","4","6","2","2","4","5","7","5","3","8","8","9","8","9","7","11","9","7","10"
"20051","4","3","6","4","4","3","1","10","7","8","5","8","10","5","10","14","12","12","16","9","9","22","16","9","17","20","21","23","17","19","13","22","20","13","26","23","26","28","27","19","23","30","32","23","29","27","33","31","32","26","3","5","6","3","4","5","7","5","7","7","9","6","11","9","10","8","9","10","10","11"
"20052","3","3","7","6","2","4","5","10","5","9","12","12","8","11","11","12","7","13","11","14","18","19","14","18","14","20","13","18","15","14","26","24","19","19","23","25","19","23","25","24","31","31","29","32","30","28","32","28","28","33","4","3","6","4","3","5","7","6","5","5","6","5","6","9","6","8","8","6","9","5"
"20053","3","4","8","6","7","4","4","9","9","3","11","11","13","6","11","13","12","11","11","14","21","11","20","19","27","19","13","20","16","18","22","26","21","24","28","20","28","26","23","23","30","32","26","31","32","30","30","33","31","34","6","4","4","5","7","3","4","3","3","4","11","8","9","7","9","9","6","7","7","4"
"20054","3","5","3","6","3","7","8","4","5","5","10","9","7","14","15","9","9","6","9","7","12","13","21","14","19","16","11","24","23","10","18","26","22","18","24","26","24","25","28","16","32","27","27","27","33","28","30","30","31","31","5","5","3","5","6","2","7","4","3","3","8","7","9","6","8","11","9","8","6","8"
"20055","10","5","3","3","6","5","7","12","8","4","11","9","4","6","10","13","9","14","10","16","19","18","17","14","14","18","15","16","18","20","30","28","26","24","24","22","25","27","24","24","33","33","32","33","32","28","31","32","30","29","2","5","4","3","0","5","4","4","3","5","5","6","7","5","7","8","6","8","11","8"
"20056","7","3","6","8","12","8","6","7","8","4","10","16","13","14","14","11","8","8","12","13","16","20","16","21","24","20","21","14","21","14","21","20","18","28","27","24","24","25","30","28","28","30","30","29","29","29","34","32","35","35","2","4","6","4","5","3","6","5","6","7","10","9","8","9","7","9","7","10","9","10"
"20057","10","3","3","5","2","12","-2","6","7","6","12","11","10","14","8","16","6","6","15","16","19","13","20","16","15","19","17","19","23","18","21","29","24","18","27","23","27","22","25","22","23","32","26","28","35","31","29","29","32","30","5","5","2","3","5","5","4","4","4","2","10","10","11","11","8","8","10","9","9","7"
"20058","6","10","5","0","5","7","6","5","4","-1","12","10","11","12","15","15","11","12","7","13","13","18","18","19","16","20","11","17","23","20","24","19","29","25","28","27","27","26","32","24","31","25","31","33","32","33","31","29","34","33","5","4","4","4","5","3","5","3","3","4","7","10","6","8","8","7","10","13","9","7"
"20059","9","6","7","3","6","6","-1","7","9","13","12","14","9","3","11","11","13","11","13","16","20","16","19","11","24","19","20","19","21","24","21","19","23","25","26","19","28","29","21","29","29","28","26","31","28","29","32","30","30","31","6","4","3","6","6","6","5","4","4","4","8","8","8","7","11","7","9","7","7","9"
"20060","3","3","4","6","9","11","4","2","6","3","6","9","5","10","14","12","7","19","19","12","16","17","13","17","17","26","17","19","22","14","20","20","21","21","25","26","22","24","29","20","27","30","28","28","26","32","23","24","34","31","3","2","3","4","1","5","6","6","2","4","6","12","8","6","7","10","9","12","8","9"
"20061","6","5","4","12","0","2","2","4","7","8","11","8","15","16","9","9","10","15","11","10","12","16","25","20","23","17","17","20","25","16","27","18","25","20","24","18","18","22","26","19","31","33","30","31","28","31","29","31","33","28","7","4","5","4","3","7","4","4","3","7","10","7","6","7","6","7","9","11","9","9"
"20062","4","9","4","4","5","8","7","7","11","7","11","14","14","14","15","10","13","9","14","16","22","26","15","19","21","15","14","15","21","19","24","26","19","27","22","25","23","22","28","26","31","31","31","32","27","33","29","27","29","26","3","1","7","3","5","3","1","5","4","4","7","8","8","7","12","10","7","9","10","10"
